"ObjectName","ReferencedBy","ReferenceCount"
"SensorEvents","dbo.sp_OrchestrateSensorStream.sql","1"
"required","dbo.vw_ModelPerformanceMetrics.sql","1"
"clr_VectorAverage","dbo.sp_RunInference.sql","1"
"temp","dbo.sp_IngestAtoms.sql","1"
"generation","dbo.GenerationStreamSegment.sql","1"
"ConceptCentroids","dbo.fn_DiscoverConcepts.sql","1"
"atom_cursor","dbo.sp_MigratePayloadLocatorToFileStream.sql","1"
"vocabulary","Embedding.TextToVector.sql","1"
"fn_clr_AnalyzeSystemState","dbo.sp_Converse.sql","1"
"hypothesis_cursor","dbo.sp_Act.sql","1"
"query","dbo.sp_FindNearestAtoms.sql, dbo.sp_GetUsageAnalytics.sql, dbo.sp_SemanticSearch.sql","3"
"SLA","dbo.fn_EstimateResponseTime.sql","1"
"UpstreamLineage","dbo.sp_QueryLineage.sql","1"
"ActQueue","dbo.sp_Act.sql","1"
"AnalyzeQueue","dbo.sp_Analyze.sql","1"
"named","Admin.WeightRollback.sql","1"
"fn_GetTimeWindow","dbo.sp_FuseMultiModalStreams.sql, dbo.sp_OrchestrateSensorStream.sql","2"
"Lineage","dbo.sp_ExportProvenance.sql","1"
"clr_ProjectToPoint","dbo.sp_AtomizeCode.sql","1"
"buffer","dbo.sp_Act.sql","1"
"IngestionMetrics","dbo.sp_IngestAtoms.sql","1"
"AtomicValue","dbo.sp_SpatialNextToken.sql","1"
"float","dbo.clr_ExtractModelWeights.sql","1"
"LOFScoresParsed","dbo.sp_Analyze.sql","1"
"concept_cursor","dbo.sp_BuildConceptDomains.sql, dbo.sp_DiscoverAndBindConcepts.sql","2"
"QueryPerformanceMetrics","dbo.sp_FindNearestAtoms.sql","1"
"text","dbo.sp_ComputeSemanticFeatures.sql, dbo.sp_SemanticSearch.sql","2"
"ScoredCandidates","dbo.sp_RunInference.sql","1"
"the","dbo.Model.sql, dbo.sp_AtomizeImage_Governed.sql, dbo.sp_AtomizeModel_Governed.sql, dbo.sp_AtomizeText_Governed.sql, dbo.sp_OrchestrateSensorStream.sql, dbo.sp_TokenizeText.sql","6"
"fn_ProjectTo3D","dbo.sp_FindNearestAtoms.sql","1"
"High","dbo.sp_ComputeSpatialProjection.sql","1"
"CumulativeProbs","dbo.sp_RunInference.sql","1"
"DownstreamLineage","dbo.sp_QueryLineage.sql","1"
"IsolationForestScore","dbo.sp_Analyze.sql","1"
"Atoms","dbo.sp_AtomizeText_Governed.sql, dbo.sp_MigratePayloadLocatorToFileStream.sql","2"
"clr_FindPrimes","dbo.sp_Act.sql","1"
"FullTextSearch","dbo.sp_FindRelatedDocuments.sql, dbo.sp_SemanticSimilarity.sql","2"
"concept","dbo.sp_GenerateEventsFromStream.sql","1"
"RankedCandidates","dbo.sp_FindNearestAtoms.sql","1"
"segment","dbo.GenerationStreamSegment.sql","1"
"DATETIME2","TensorAtomCoefficients_Temporal.sql","1"
"CONTAINSTABLE","dbo.sp_FusionSearch.sql","1"
"clr_GenerateCodeAstVector","dbo.sp_AtomizeCode.sql","1"
"TensorAtomCoefficients","dbo.sp_AtomizeModel_Governed.sql","1"
"clr_ReadFileBytes","dbo.sp_MigratePayloadLocatorToFileStream.sql","1"
"approval","dbo.sp_Act.sql","1"
"stored","dbo.BillingUsageLedger_Migrate_to_Ledger.sql","1"
"WeightOverrides","dbo.fn_SelectModelsForTask.sql","1"
"RankedBindings","dbo.sp_DiscoverAndBindConcepts.sql","1"
"NumberSeries","Embedding.TextToVector.sql","1"
"fn_GenerateWithAttention","dbo.sp_GenerateWithAttention.sql","1"
"clr_CosineSimilarity","dbo.sp_FindNearestAtoms.sql","1"
"IngestionJobs","dbo.sp_AtomizeImage_Governed.sql, dbo.sp_AtomizeModel_Governed.sql, dbo.sp_AtomizeText_Governed.sql","3"
"ChainOfThoughtCoherence","dbo.sp_ChainOfThoughtReasoning.sql","1"
"cursor_embeddings","dbo.sp_ComputeAllSemanticFeatures.sql","1"
"stream","dbo.sp_GenerateEventsFromStream.sql","1"
"plan_cursor","dbo.sp_Act.sql","1"
"Attention","dbo.sp_AttentionInference.sql, dbo.sp_GenerateWithAttention.sql, dbo.sp_TransformerStyleInference.sql","3"
"SelfConsistency","dbo.sp_SelfConsistencyReasoning.sql","1"
"ImpactedAtoms","dbo.sp_FindImpactedAtoms.sql","1"
"HilbertCandidates","dbo.sp_FindNearestAtoms.sql","1"
"fn_GenerateText","dbo.sp_GenerateText.sql","1"
"clr_StreamOrchestrator","dbo.sp_FuseMultiModalStreams.sql, dbo.sp_OrchestrateSensorStream.sql","2"
"an","provenance.clr_EnumerateAtomicStreamSegments.sql","1"
"fn_GetComponentCount","dbo.sp_FuseMultiModalStreams.sql, dbo.sp_OrchestrateSensorStream.sql","2"
"HypothesizeQueue","dbo.sp_Hypothesize.sql","1"
"ANALYZE","dbo.sp_Hypothesize.sql","1"
"Open","dbo.sp_GenerateOptimalPath.sql","1"
"IsolationScores","dbo.sp_Analyze.sql","1"
"SERVICE","dbo.sp_Act.sql, dbo.sp_Analyze.sql, dbo.sp_EnqueueIngestion.sql, dbo.sp_EnqueueNeo4jSync.sql, dbo.sp_Hypothesize.sql, dbo.sp_StartPrimeSearch.sql, dbo.sp_SubmitInferenceJob.sql","7"
"new","dbo.sp_MigratePayloadLocatorToFileStream.sql","1"
"start","dbo.sp_GenerateOptimalPath.sql","1"
"sp_AtomizeAudio","dbo.fn_ComputeGeometryRms.sql","1"
"CombinedScores","dbo.sp_Analyze.sql","1"
"document","dbo.sp_SemanticSimilarity.sql","1"
"SpatialCandidates","dbo.sp_FindNearestAtoms.sql","1"
"Neo4jSyncQueue","dbo.sp_ForwardToNeo4j_Activated.sql, dbo.sp_IngestAtoms.sql","2"
"ModelManagement","dbo.sp_IngestModel.sql, dbo.sp_ScoreWithModel.sql","2"
"for","ref.Status_History.sql","1"
"cluster_cursor","dbo.sp_GenerateEventsFromStream.sql","1"
"ution","dbo.sp_Converse.sql","1"
"InferenceTracking","dbo.sp_Analyze.sql, dbo.sp_RunInference.sql","2"
"TopPFiltered","dbo.sp_RunInference.sql","1"
"PREDICT","dbo.sp_ScoreWithModel.sql","1"
"PathCTE","dbo.sp_GenerateOptimalPath.sql","1"
"ProvenanceFunctions","dbo.sp_ExportProvenance.sql, dbo.sp_FindImpactedAtoms.sql, dbo.sp_QueryLineage.sql","3"
"AnomalousInferences","dbo.sp_Analyze.sql","1"
"fn_DecompressComponents","dbo.sp_FuseMultiModalStreams.sql, dbo.sp_GenerateEventsFromStream.sql","2"
"clr_ComputeHilbertValue","dbo.sp_FindNearestAtoms.sql","1"
"a","graph.AtomGraphEdges_Add_PseudoColumn_Indexes.sql","1"
"JSON","dbo.sp_ComputeSpatialProjection.sql, dbo.sp_SelfConsistencyReasoning.sql","2"
"CLR","dbo.sp_AtomizeModel_Governed.sql","1"
"DailyUsage","dbo.sp_GenerateUsageReport.sql","1"
"goal","dbo.sp_GenerateOptimalPath.sql","1"
"Normalized","dbo.sp_RunInference.sql","1"
"EmbeddingClusters","dbo.fn_DiscoverConcepts.sql","1"
"LocalOutlierFactor","dbo.sp_Analyze.sql","1"
"input","Embedding.TextToVector.sql, dbo.fn_CalculateComplexity.sql","2"
"HYPOTHESIZE","dbo.sp_Act.sql","1"
